Call number,Customer ID,Duration,Representative,Date of Call,Purchase Amount,Satisfaction Rating,FY,Day of week,
Call_7271,C0003,116,R05,1-Jan-23,128,4.9,2023,Sunday,
Call_7272,C0004,119,R05,1-Jan-23,135,2.9,2023,Sunday,
Call_7273,C0005,68,R02,1-Jan-23,66,4.7,2023,Sunday,
Call_7274,C0014,119,R02,1-Jan-23,22,2.9,2023,Sunday,
Call_7275,C0011,128,R01,2-Jan-23,31,2.8,2023,Monday,
Call_7276,C0011,49,R02,3-Jan-23,135,4.8,2023,Tuesday,
Call_7277,C0007,84,R05,3-Jan-23,60,4.7,2023,Tuesday,
Call_7278,C0003,103,R04,3-Jan-23,148,4.4,2023,Tuesday,
Call_7279,C0005,31,R02,3-Jan-23,135,3.6,2023,Tuesday,
Call_7280,C0010,44,R03,3-Jan-23,105,2.9,2023,Tuesday,
Call_7281,C0011,102,R02,3-Jan-23,69,4.9,2023,Tuesday,
Call_7282,C0013,135,R05,3-Jan-23,46,3.4,2023,Tuesday,
Call_7283,C0002,98,R02,4-Jan-23,108,3.5,2023,Wednesday,
Call_7284,C0010,139,R02,4-Jan-23,96,4,2023,Wednesday,
Call_7285,C0013,48,R01,4-Jan-23,68,4.9,2023,Wednesday,
Call_7286,C0010,176,R05,5-Jan-23,24,4.8,2023,Thursday,
Call_7287,C0010,99,R01,5-Jan-23,195,3.9,2023,Thursday,
Call_7288,C0009,28,R03,5-Jan-23,28,3.8,2023,Thursday,
Call_7289,C0007,54,R02,5-Jan-23,170,4.3,2023,Thursday,
Call_7290,C0006,48,R05,6-Jan-23,30,4.4,2023,Friday,
Call_7291,C0004,128,R05,6-Jan-23,72,5,2023,Friday,
Call_7292,C0004,38,R04,7-Jan-23,92,4.9,2023,Saturday,
Call_7293,C0003,67,R04,8-Jan-23,165,4.5,2023,Sunday,
Call_7294,C0015,58,R02,8-Jan-23,140,2.1,2023,Sunday,
Call_7295,C0010,54,R01,8-Jan-23,111,3.3,2023,Sunday,
Call_7296,C0012,28,R05,9-Jan-23,63,4.1,2023,Monday,
Call_7297,C0002,73,R05,9-Jan-23,80,4.2,2023,Monday,
Call_7298,C0011,81,R05,10-Jan-23,50,4.6,2023,Tuesday,
Call_7299,C0009,31,R04,10-Jan-23,123,2.9,2023,Tuesday,
Call_7300,C0015,155,R01,10-Jan-23,110,4.8,2023,Tuesday,
Call_7301,C0009,80,R05,10-Jan-23,140,4.2,2023,Tuesday,
Call_7302,C0011,82,R05,12-Jan-23,42,3.7,2023,Thursday,
Call_7303,C0011,29,R01,12-Jan-23,170,5,2023,Thursday,
Call_7304,C0006,160,R02,14-Jan-23,105,5,2023,Saturday,
Call_7305,C0001,105,R05,15-Jan-23,125,4.8,2023,Sunday,
Call_7306,C0009,75,R03,15-Jan-23,26,2.4,2023,Sunday,
Call_7307,C0015,94,R03,16-Jan-23,120,3.1,2023,Monday,
Call_7308,C0004,90,R02,16-Jan-23,132,3.2,2023,Monday,
Call_7309,C0015,81,R04,17-Jan-23,86,2.4,2023,Tuesday,
Call_7310,C0009,106,R05,17-Jan-23,108,5,2023,Tuesday,
Call_7311,C0004,74,R04,17-Jan-23,96,4.7,2023,Tuesday,
Call_7312,C0010,105,R02,18-Jan-23,80,4.7,2023,Wednesday,
Call_7313,C0009,89,R05,18-Jan-23,155,4.1,2023,Wednesday,
Call_7314,C0013,132,R03,18-Jan-23,168,4.1,2023,Wednesday,
Call_7315,C0001,105,R01,18-Jan-23,56,3.6,2023,Wednesday,
Call_7316,C0011,13,R03,19-Jan-23,32,4.4,2023,Thursday,
Call_7317,C0014,131,R01,19-Jan-23,78,4.4,2023,Thursday,
Call_7318,C0004,104,R05,19-Jan-23,86,4,2023,Thursday,
Call_7319,C0003,90,R02,20-Jan-23,64,3.8,2023,Friday,
Call_7320,C0012,37,R02,20-Jan-23,96,3.6,2023,Friday,
Call_7321,C0002,149,R01,20-Jan-23,72,4.3,2023,Friday,
Call_7322,C0013,100,R04,21-Jan-23,135,3.8,2023,Saturday,
Call_7323,C0013,79,R03,21-Jan-23,140,4.5,2023,Saturday,
Call_7324,C0008,157,R01,21-Jan-23,69,4.5,2023,Saturday,
Call_7325,C0013,59,R05,22-Jan-23,136,4.6,2023,Sunday,
Call_7326,C0012,83,R01,22-Jan-23,28,4.5,2023,Sunday,
Call_7327,C0008,58,R02,23-Jan-23,135,3.3,2023,Monday,
Call_7328,C0015,118,R02,23-Jan-23,126,2.3,2023,Monday,
Call_7329,C0011,63,R05,23-Jan-23,160,4.3,2023,Monday,
Call_7330,C0008,95,R02,24-Jan-23,48,4.6,2023,Tuesday,
Call_7331,C0013,74,R01,24-Jan-23,66,4,2023,Tuesday,
Call_7332,C0010,130,R04,24-Jan-23,126,2.5,2023,Tuesday,
Call_7333,C0015,110,R03,24-Jan-23,96,5,2023,Tuesday,
Call_7334,C0013,71,R05,25-Jan-23,90,3.8,2023,Wednesday,
Call_7335,C0001,147,R04,25-Jan-23,105,4.4,2023,Wednesday,
Call_7336,C0004,69,R02,26-Jan-23,40,3.8,2023,Thursday,
Call_7337,C0015,50,R05,26-Jan-23,60,2,2023,Thursday,
Call_7338,C0010,124,R04,27-Jan-23,215,4.1,2023,Friday,
Call_7339,C0005,81,R01,27-Jan-23,156,2.6,2023,Friday,
Call_7340,C0006,141,R03,27-Jan-23,54,0,2023,Friday,
Call_7341,C0006,168,R03,28-Jan-23,160,3.9,2023,Saturday,
Call_7342,C0001,101,R01,28-Jan-23,80,4.8,2023,Saturday,
Call_7343,C0013,67,R01,28-Jan-23,168,2.6,2023,Saturday,
Call_7344,C0008,114,R03,30-Jan-23,42,2.6,2023,Monday,
Call_7345,C0005,42,R01,30-Jan-23,205,3.6,2023,Monday,
Call_7346,C0011,69,R03,30-Jan-23,108,3.3,2023,Monday,
Call_7347,C0010,145,R02,30-Jan-23,78,1.9,2023,Monday,
Call_7348,C0004,43,R03,30-Jan-23,23,4.9,2023,Monday,
Call_7349,C0011,62,R05,31-Jan-23,99,3.6,2023,Tuesday,
Call_7350,C0009,79,R03,1-Feb-23,148,4.5,2023,Wednesday,
Call_7351,C0010,45,R04,1-Feb-23,34,3.7,2023,Wednesday,
Call_7352,C0011,137,R03,1-Feb-23,86,4.8,2023,Wednesday,
Call_7353,C0008,109,R05,1-Feb-23,105,3.3,2023,Wednesday,
Call_7354,C0004,78,R05,1-Feb-23,62,3.1,2023,Wednesday,
Call_7355,C0011,137,R04,1-Feb-23,90,4.1,2023,Wednesday,
Call_7356,C0014,99,R05,2-Feb-23,112,4.9,2023,Thursday,
Call_7357,C0015,100,R05,2-Feb-23,135,4,2023,Thursday,
Call_7358,C0004,47,R02,2-Feb-23,34,2.1,2023,Thursday,
Call_7359,C0008,87,R01,2-Feb-23,155,4.5,2023,Thursday,
Call_7360,C0014,143,R01,4-Feb-23,124,4.9,2023,Saturday,
Call_7361,C0015,84,R05,4-Feb-23,195,4.1,2023,Saturday,
Call_7362,C0001,55,R01,5-Feb-23,78,4.5,2023,Sunday,
Call_7363,C0007,135,R04,7-Feb-23,35,4.8,2023,Tuesday,
Call_7364,C0012,152,R02,7-Feb-23,123,4.6,2023,Tuesday,
Call_7365,C0005,132,R02,7-Feb-23,43,4.6,2023,Tuesday,
Call_7366,C0006,60,R05,8-Feb-23,69,4.3,2023,Wednesday,
Call_7367,C0012,95,R02,8-Feb-23,130,5,2023,Wednesday,
Call_7368,C0003,96,R03,8-Feb-23,120,4,2023,Wednesday,
Call_7369,C0001,45,R05,9-Feb-23,84,4.6,2023,Thursday,
Call_7370,C0003,132,R03,10-Feb-23,112,4.5,2023,Friday,
Call_7371,C0013,95,R05,10-Feb-23,66,4.6,2023,Friday,
Call_7372,C0012,131,R01,10-Feb-23,172,2.6,2023,Friday,
Call_7373,C0009,67,R04,11-Feb-23,24,4.3,2023,Saturday,
Call_7374,C0014,111,R01,12-Feb-23,43,3.9,2023,Sunday,
Call_7375,C0005,78,R02,12-Feb-23,23,5,2023,Sunday,
Call_7376,C0002,28,R03,12-Feb-23,74,3.5,2023,Sunday,
Call_7377,C0004,127,R04,13-Feb-23,165,4.7,2023,Monday,
Call_7378,C0015,137,R01,13-Feb-23,34,2.9,2023,Monday,
Call_7379,C0004,76,R03,13-Feb-23,64,3.4,2023,Monday,
Call_7380,C0005,80,R04,14-Feb-23,155,3.2,2023,Tuesday,
Call_7381,C0004,95,R02,15-Feb-23,120,4.8,2023,Wednesday,
Call_7382,C0006,30,R03,15-Feb-23,105,3.6,2023,Wednesday,
Call_7383,C0011,19,R01,15-Feb-23,28,4.9,2023,Wednesday,
Call_7384,C0010,38,R04,15-Feb-23,100,4.8,2023,Wednesday,
Call_7385,C0013,55,R01,15-Feb-23,23,3.6,2023,Wednesday,
Call_7386,C0009,27,R03,16-Feb-23,70,3.9,2023,Thursday,
Call_7387,C0009,32,R03,16-Feb-23,37,1.9,2023,Thursday,
Call_7388,C0002,116,R05,16-Feb-23,140,3.6,2023,Thursday,
Call_7389,C0003,99,R02,16-Feb-23,78,4.1,2023,Thursday,
Call_7390,C0004,75,R03,17-Feb-23,21,4.2,2023,Friday,
Call_7391,C0005,57,R05,17-Feb-23,88,4.3,2023,Friday,
Call_7392,C0007,155,R05,18-Feb-23,180,2.2,2023,Saturday,
Call_7393,C0003,68,R02,18-Feb-23,22,3.3,2023,Saturday,
Call_7394,C0010,95,R02,18-Feb-23,52,4.8,2023,Saturday,
Call_7395,C0015,65,R05,19-Feb-23,80,4,2023,Sunday,
Call_7396,C0011,114,R01,19-Feb-23,54,1.1,2023,Sunday,
Call_7397,C0004,155,R01,20-Feb-23,80,3.9,2023,Monday,
Call_7398,C0015,114,R05,21-Feb-23,120,1.8,2023,Tuesday,
Call_7399,C0007,130,R04,21-Feb-23,150,1,2023,Tuesday,
Call_7400,C0004,89,R05,21-Feb-23,90,4.3,2023,Tuesday,
Call_7401,C0001,61,R03,22-Feb-23,140,3.4,2023,Wednesday,
Call_7402,C0010,154,R01,22-Feb-23,22,3.4,2023,Wednesday,
Call_7403,C0015,115,R04,23-Feb-23,150,4.1,2023,Thursday,
Call_7404,C0008,138,R02,24-Feb-23,35,4.8,2023,Friday,
Call_7405,C0014,153,R05,24-Feb-23,200,2,2023,Friday,
Call_7406,C0015,61,R03,25-Feb-23,150,4.6,2023,Saturday,
Call_7407,C0009,62,R05,25-Feb-23,21,2.6,2023,Saturday,
Call_7408,C0001,151,R04,26-Feb-23,46,4.9,2023,Sunday,
Call_7409,C0012,102,R01,26-Feb-23,165,2.7,2023,Sunday,
Call_7410,C0006,64,R05,26-Feb-23,84,4.1,2023,Sunday,
Call_7411,C0004,6,R01,27-Feb-23,102,4.4,2023,Monday,
Call_7412,C0006,129,R05,27-Feb-23,180,4.8,2023,Monday,
Call_7413,C0009,42,R04,28-Feb-23,111,3,2023,Tuesday,
Call_7414,C0009,71,R03,28-Feb-23,104,3.1,2023,Tuesday,
Call_7415,C0005,53,R01,28-Feb-23,80,2.6,2023,Tuesday,
Call_7416,C0011,155,R03,1-Mar-23,132,4.6,2023,Wednesday,
Call_7417,C0011,90,R04,1-Mar-23,170,3.7,2023,Wednesday,
Call_7418,C0006,166,R02,1-Mar-23,36,3.8,2023,Wednesday,
Call_7419,C0002,89,R03,1-Mar-23,126,3.6,2023,Wednesday,
Call_7420,C0015,152,R01,1-Mar-23,215,4.4,2023,Wednesday,
Call_7421,C0002,137,R04,1-Mar-23,114,3.2,2023,Wednesday,
Call_7422,C0002,43,R04,1-Mar-23,99,4.7,2023,Wednesday,
Call_7423,C0010,114,R04,2-Mar-23,23,4.8,2023,Thursday,
Call_7424,C0014,103,R03,2-Mar-23,75,2.7,2023,Thursday,
Call_7425,C0002,98,R01,2-Mar-23,100,3.8,2023,Thursday,
Call_7426,C0006,106,R02,2-Mar-23,108,4.3,2023,Thursday,
Call_7427,C0004,96,R02,2-Mar-23,108,5,2023,Thursday,
Call_7428,C0014,70,R02,2-Mar-23,28,4.8,2023,Thursday,
Call_7429,C0009,86,R05,3-Mar-23,70,4.9,2023,Friday,
Call_7430,C0005,64,R05,3-Mar-23,172,4.1,2023,Friday,
Call_7431,C0004,113,R01,3-Mar-23,123,4.4,2023,Friday,
Call_7432,C0004,21,R02,3-Mar-23,93,3.4,2023,Friday,
Call_7433,C0012,107,R05,3-Mar-23,66,4,2023,Friday,
Call_7434,C0012,131,R02,3-Mar-23,39,2.4,2023,Friday,
Call_7435,C0003,11,R03,3-Mar-23,25,2.1,2023,Friday,
Call_7436,C0001,86,R01,3-Mar-23,68,3,2023,Friday,
Call_7437,C0005,28,R03,3-Mar-23,84,3.2,2023,Friday,
Call_7438,C0011,139,R02,4-Mar-23,88,3.4,2023,Saturday,
Call_7439,C0006,82,R01,4-Mar-23,93,2.7,2023,Saturday,
Call_7440,C0004,101,R03,4-Mar-23,128,5,2023,Saturday,
Call_7441,C0005,75,R04,4-Mar-23,40,3.4,2023,Saturday,
Call_7442,C0010,40,R03,5-Mar-23,92,4.7,2023,Sunday,
Call_7443,C0002,86,R02,5-Mar-23,27,4.5,2023,Sunday,
Call_7444,C0007,131,R05,5-Mar-23,140,4.1,2023,Sunday,
Call_7445,C0012,67,R01,5-Mar-23,40,5,2023,Sunday,
Call_7446,C0008,71,R03,5-Mar-23,102,4.7,2023,Sunday,
Call_7447,C0007,113,R05,5-Mar-23,42,4.2,2023,Sunday,
Call_7448,C0006,53,R02,6-Mar-23,210,3.9,2023,Monday,
Call_7449,C0007,153,R01,6-Mar-23,34,3,2023,Monday,
Call_7450,C0012,73,R04,6-Mar-23,215,3.6,2023,Monday,
Call_7451,C0009,62,R04,6-Mar-23,32,0.7,2023,Monday,
Call_7452,C0011,115,R02,7-Mar-23,48,4.7,2023,Tuesday,
Call_7453,C0007,69,R02,7-Mar-23,132,4.5,2023,Tuesday,
Call_7454,C0002,103,R05,7-Mar-23,172,4.3,2023,Tuesday,
Call_7455,C0002,75,R05,7-Mar-23,111,3.4,2023,Tuesday,
Call_7456,C0013,92,R05,7-Mar-23,58,3.6,2023,Tuesday,
Call_7457,C0013,41,R04,7-Mar-23,68,4,2023,Tuesday,
Call_7458,C0002,134,R01,7-Mar-23,160,4.5,2023,Tuesday,
Call_7459,C0001,80,R03,7-Mar-23,45,3,2023,Tuesday,
Call_7460,C0008,103,R02,8-Mar-23,117,3,2023,Wednesday,
Call_7461,C0006,20,R05,9-Mar-23,22,1.6,2023,Thursday,
Call_7462,C0008,75,R03,9-Mar-23,195,3,2023,Thursday,
Call_7463,C0013,80,R01,9-Mar-23,168,3.7,2023,Thursday,
Call_7464,C0007,85,R04,10-Mar-23,46,4.9,2023,Friday,
Call_7465,C0004,155,R05,10-Mar-23,164,3.4,2023,Friday,
Call_7466,C0007,63,R04,10-Mar-23,48,5,2023,Friday,
Call_7467,C0005,105,R02,10-Mar-23,96,5,2023,Friday,
Call_7468,C0007,71,R04,10-Mar-23,105,4,2023,Friday,
Call_7469,C0004,100,R04,11-Mar-23,44,3.6,2023,Saturday,
Call_7470,C0003,93,R01,11-Mar-23,132,3.7,2023,Saturday,
Call_7471,C0005,84,R05,11-Mar-23,54,4.2,2023,Saturday,
Call_7472,C0001,56,R03,11-Mar-23,129,2.1,2023,Saturday,
Call_7473,C0001,63,R04,11-Mar-23,42,4,2023,Saturday,
Call_7474,C0009,83,R04,11-Mar-23,42,4.2,2023,Saturday,
Call_7475,C0013,134,R05,11-Mar-23,180,3.1,2023,Saturday,
Call_7476,C0011,73,R04,12-Mar-23,34,4.8,2023,Sunday,
Call_7477,C0008,6,R03,12-Mar-23,29,4.7,2023,Sunday,
Call_7478,C0012,46,R02,12-Mar-23,165,3.3,2023,Sunday,
Call_7479,C0008,121,R04,13-Mar-23,32,3.7,2023,Monday,
Call_7480,C0001,61,R01,13-Mar-23,160,4.9,2023,Monday,
Call_7481,C0013,144,R05,13-Mar-23,140,3.5,2023,Monday,
Call_7482,C0012,145,R05,13-Mar-23,136,4.4,2023,Monday,
Call_7483,C0005,85,R03,13-Mar-23,66,2.8,2023,Monday,
Call_7484,C0012,13,R01,14-Mar-23,63,4.1,2023,Tuesday,
Call_7485,C0003,142,R04,14-Mar-23,44,3.5,2023,Tuesday,
Call_7486,C0013,28,R02,14-Mar-23,78,3.8,2023,Tuesday,
Call_7487,C0013,119,R04,14-Mar-23,20,3.9,2023,Tuesday,
Call_7488,C0008,65,R03,14-Mar-23,84,2.5,2023,Tuesday,
Call_7489,C0002,68,R03,14-Mar-23,32,4.9,2023,Tuesday,
Call_7490,C0009,72,R02,14-Mar-23,132,3.4,2023,Tuesday,
Call_7491,C0009,63,R05,14-Mar-23,105,3.3,2023,Tuesday,
Call_7492,C0004,139,R04,15-Mar-23,48,4.7,2023,Wednesday,
Call_7493,C0013,59,R04,15-Mar-23,64,4,2023,Wednesday,
Call_7494,C0006,138,R05,15-Mar-23,44,3.8,2023,Wednesday,
Call_7495,C0004,47,R02,15-Mar-23,120,3.1,2023,Wednesday,
Call_7496,C0006,74,R02,15-Mar-23,144,4.8,2023,Wednesday,
Call_7497,C0009,65,R02,15-Mar-23,87,2.7,2023,Wednesday,
Call_7498,C0011,123,R03,15-Mar-23,36,3.6,2023,Wednesday,
Call_7499,C0009,90,R04,16-Mar-23,72,4.7,2023,Thursday,
Call_7500,C0001,127,R05,16-Mar-23,150,4.4,2023,Thursday,
Call_7501,C0014,60,R02,16-Mar-23,68,4.3,2023,Thursday,
Call_7502,C0004,94,R05,16-Mar-23,99,4.9,2023,Thursday,
Call_7503,C0011,54,R02,16-Mar-23,26,4.8,2023,Thursday,
Call_7504,C0009,104,R02,16-Mar-23,88,3.2,2023,Thursday,
Call_7505,C0007,100,R02,16-Mar-23,124,3.4,2023,Thursday,
Call_7506,C0006,84,R02,16-Mar-23,72,3.5,2023,Thursday,
Call_7507,C0003,92,R01,17-Mar-23,125,4.9,2023,Friday,
Call_7508,C0010,64,R05,17-Mar-23,22,4.1,2023,Friday,
Call_7509,C0005,89,R04,18-Mar-23,70,4.9,2023,Saturday,
Call_7510,C0015,40,R02,18-Mar-23,24,4.3,2023,Saturday,
Call_7511,C0013,75,R03,18-Mar-23,32,4.1,2023,Saturday,
Call_7512,C0001,106,R01,18-Mar-23,112,4.4,2023,Saturday,
Call_7513,C0010,58,R02,19-Mar-23,43,4.5,2023,Sunday,
Call_7514,C0006,84,R01,19-Mar-23,22,3.5,2023,Sunday,
Call_7515,C0009,140,R01,19-Mar-23,93,4.4,2023,Sunday,
Call_7516,C0010,67,R01,19-Mar-23,45,3.5,2023,Sunday,
Call_7517,C0004,126,R01,20-Mar-23,96,3.8,2023,Monday,
Call_7518,C0004,89,R02,20-Mar-23,96,3.3,2023,Monday,
Call_7519,C0005,56,R05,20-Mar-23,31,4.4,2023,Monday,
Call_7520,C0011,48,R02,20-Mar-23,200,3.9,2023,Monday,
Call_7521,C0004,55,R05,20-Mar-23,99,2.7,2023,Monday,
Call_7522,C0014,88,R03,20-Mar-23,144,2.9,2023,Monday,
Call_7523,C0005,102,R01,21-Mar-23,81,4,2023,Tuesday,
Call_7524,C0014,155,R03,21-Mar-23,70,4.4,2023,Tuesday,
Call_7525,C0004,63,R03,21-Mar-23,148,5,2023,Tuesday,
Call_7526,C0007,59,R01,21-Mar-23,215,4.1,2023,Tuesday,
Call_7527,C0007,144,R02,21-Mar-23,124,4.4,2023,Tuesday,
Call_7528,C0006,113,R04,21-Mar-23,168,4.1,2023,Tuesday,
Call_7529,C0012,154,R05,21-Mar-23,90,4.5,2023,Tuesday,
Call_7530,C0012,58,R01,22-Mar-23,176,4.2,2023,Wednesday,
Call_7531,C0011,63,R03,22-Mar-23,87,4.6,2023,Wednesday,
Call_7532,C0009,59,R02,22-Mar-23,128,4.5,2023,Wednesday,
Call_7533,C0008,129,R03,22-Mar-23,120,4.1,2023,Wednesday,
Call_7534,C0002,101,R04,22-Mar-23,130,4.8,2023,Wednesday,
Call_7535,C0015,154,R02,22-Mar-23,172,3.1,2023,Wednesday,
Call_7536,C0010,131,R02,22-Mar-23,58,4.9,2023,Wednesday,
Call_7537,C0007,111,R04,23-Mar-23,86,4.1,2023,Thursday,
Call_7538,C0012,142,R04,24-Mar-23,31,4.4,2023,Friday,
Call_7539,C0005,93,R03,24-Mar-23,72,4.4,2023,Friday,
Call_7540,C0012,125,R05,25-Mar-23,27,3,2023,Saturday,
Call_7541,C0008,76,R02,25-Mar-23,110,4.4,2023,Saturday,
Call_7542,C0006,69,R03,25-Mar-23,126,3.7,2023,Saturday,
Call_7543,C0009,149,R05,25-Mar-23,60,3.9,2023,Saturday,
Call_7544,C0012,57,R03,25-Mar-23,35,3.5,2023,Saturday,
Call_7545,C0004,113,R02,25-Mar-23,81,3.5,2023,Saturday,
Call_7546,C0003,160,R05,25-Mar-23,116,3.4,2023,Saturday,
Call_7547,C0011,158,R01,25-Mar-23,60,4.5,2023,Saturday,
Call_7548,C0006,77,R05,26-Mar-23,130,4.2,2023,Sunday,
Call_7549,C0013,118,R04,26-Mar-23,99,5,2023,Sunday,
Call_7550,C0015,75,R02,26-Mar-23,135,4.7,2023,Sunday,
Call_7551,C0004,103,R05,26-Mar-23,42,2.8,2023,Sunday,
Call_7552,C0006,116,R04,27-Mar-23,63,3.4,2023,Monday,
Call_7553,C0007,61,R01,27-Mar-23,140,1.8,2023,Monday,
Call_7554,C0012,126,R02,27-Mar-23,128,4.2,2023,Monday,
Call_7555,C0002,141,R03,27-Mar-23,80,4.4,2023,Monday,
Call_7556,C0011,95,R04,27-Mar-23,28,2.7,2023,Monday,
Call_7557,C0015,39,R01,28-Mar-23,81,5,2023,Tuesday,
Call_7558,C0004,127,R02,28-Mar-23,99,3.9,2023,Tuesday,
Call_7559,C0007,78,R02,28-Mar-23,43,3.8,2023,Tuesday,
Call_7560,C0013,40,R02,28-Mar-23,34,4.6,2023,Tuesday,
Call_7561,C0007,56,R01,28-Mar-23,225,4.6,2023,Tuesday,
Call_7562,C0015,59,R03,28-Mar-23,210,4.5,2023,Tuesday,
Call_7563,C0012,30,R02,28-Mar-23,168,4.2,2023,Tuesday,
Call_7564,C0013,63,R05,29-Mar-23,82,4.5,2023,Wednesday,
Call_7565,C0005,56,R04,29-Mar-23,88,4.1,2023,Wednesday,
Call_7566,C0008,95,R05,29-Mar-23,111,3.3,2023,Wednesday,
Call_7567,C0001,128,R03,29-Mar-23,60,3.8,2023,Wednesday,
Call_7568,C0011,49,R05,29-Mar-23,80,3,2023,Wednesday,
Call_7569,C0001,89,R01,31-Mar-23,90,4.6,2023,Friday,
Call_7570,C0009,87,R05,31-Mar-23,225,2.9,2023,Friday,
Call_7571,C0003,60,R02,1-Apr-23,215,3.2,2023,Saturday,
Call_7572,C0014,42,R01,1-Apr-23,45,1.5,2023,Saturday,
Call_7573,C0010,99,R02,1-Apr-23,74,4,2023,Saturday,
Call_7574,C0005,20,R01,1-Apr-23,60,3.6,2023,Saturday,
Call_7575,C0013,65,R02,1-Apr-23,64,3.7,2023,Saturday,
Call_7576,C0012,71,R05,2-Apr-23,110,4.8,2023,Sunday,
Call_7577,C0004,95,R03,2-Apr-23,52,1.2,2023,Sunday,
Call_7578,C0005,81,R04,3-Apr-23,160,4.7,2023,Monday,
Call_7579,C0006,137,R04,3-Apr-23,215,4.7,2023,Monday,
Call_7580,C0006,40,R03,3-Apr-23,220,4.5,2023,Monday,
Call_7581,C0010,111,R02,4-Apr-23,175,3.5,2023,Tuesday,
Call_7582,C0012,106,R02,4-Apr-23,145,4.1,2023,Tuesday,
Call_7583,C0014,133,R01,4-Apr-23,72,4.4,2023,Tuesday,
Call_7584,C0007,38,R02,5-Apr-23,81,3.6,2023,Wednesday,
Call_7585,C0015,130,R03,5-Apr-23,54,4.1,2023,Wednesday,
Call_7586,C0013,23,R01,5-Apr-23,105,4.8,2023,Wednesday,
Call_7587,C0015,124,R02,6-Apr-23,176,3.9,2023,Thursday,
Call_7588,C0005,107,R02,6-Apr-23,115,3.8,2023,Thursday,
Call_7589,C0006,60,R05,6-Apr-23,116,3.9,2023,Thursday,
Call_7590,C0006,158,R03,6-Apr-23,100,4.1,2023,Thursday,
Call_7591,C0009,110,R03,7-Apr-23,36,2.2,2023,Friday,
Call_7592,C0001,70,R03,7-Apr-23,114,5,2023,Friday,
Call_7593,C0001,150,R05,7-Apr-23,24,3.8,2023,Friday,
Call_7594,C0007,36,R02,7-Apr-23,135,4.6,2023,Friday,
Call_7595,C0015,74,R02,7-Apr-23,30,4,2023,Friday,
Call_7596,C0004,75,R02,7-Apr-23,84,2.8,2023,Friday,
Call_7597,C0008,70,R04,7-Apr-23,42,4.4,2023,Friday,
Call_7598,C0009,23,R03,7-Apr-23,117,2.4,2023,Friday,
Call_7599,C0010,104,R01,7-Apr-23,164,4,2023,Friday,
Call_7600,C0001,95,R04,8-Apr-23,123,4.4,2023,Saturday,
Call_7601,C0011,49,R05,8-Apr-23,172,2.9,2023,Saturday,
Call_7602,C0012,8,R03,8-Apr-23,20,4.8,2023,Saturday,
