Call number,Customer ID,Duration,Representative,Date of Call,Purchase Amount,Satisfaction Rating,FY,Day of week,
Call_7603,C0001,157,R05,8-Apr-23,72,3.7,2023,Saturday,
Call_7604,C0005,74,R02,8-Apr-23,32,4.8,2023,Saturday,
Call_7605,C0009,72,R04,8-Apr-23,140,3.2,2023,Saturday,
Call_7606,C0005,79,R02,9-Apr-23,120,4.9,2023,Sunday,
Call_7607,C0015,23,R02,9-Apr-23,86,2.2,2023,Sunday,
Call_7608,C0004,69,R02,9-Apr-23,132,5,2023,Sunday,
Call_7609,C0006,64,R02,9-Apr-23,80,3.3,2023,Sunday,
Call_7610,C0002,47,R05,9-Apr-23,132,3.7,2023,Sunday,
Call_7611,C0005,55,R04,9-Apr-23,27,3.7,2023,Sunday,
Call_7612,C0010,104,R04,10-Apr-23,68,3.6,2023,Monday,
Call_7613,C0002,116,R02,10-Apr-23,22,4.7,2023,Monday,
Call_7614,C0015,99,R04,10-Apr-23,42,3.1,2023,Monday,
Call_7615,C0010,84,R04,11-Apr-23,38,3.3,2023,Tuesday,
Call_7616,C0012,159,R04,11-Apr-23,42,4.5,2023,Tuesday,
Call_7617,C0007,25,R05,11-Apr-23,75,3.9,2023,Tuesday,
Call_7618,C0012,53,R03,12-Apr-23,23,4.9,2023,Wednesday,
Call_7619,C0012,89,R05,12-Apr-23,200,4.8,2023,Wednesday,
Call_7620,C0014,73,R02,13-Apr-23,45,3.6,2023,Thursday,
Call_7621,C0015,50,R02,13-Apr-23,105,3.5,2023,Thursday,
Call_7622,C0011,98,R02,13-Apr-23,22,3.8,2023,Thursday,
Call_7623,C0013,114,R04,14-Apr-23,126,4.4,2023,Friday,
Call_7624,C0006,67,R04,14-Apr-23,35,3,2023,Friday,
Call_7625,C0005,91,R02,14-Apr-23,84,4.5,2023,Friday,
Call_7626,C0008,67,R02,15-Apr-23,172,4.5,2023,Saturday,
Call_7627,C0013,139,R05,15-Apr-23,114,4,2023,Saturday,
Call_7628,C0008,102,R05,15-Apr-23,60,3.8,2023,Saturday,
Call_7629,C0001,108,R01,15-Apr-23,26,3.3,2023,Saturday,
Call_7630,C0007,66,R02,15-Apr-23,210,4.3,2023,Saturday,
Call_7631,C0009,85,R05,15-Apr-23,129,4.2,2023,Saturday,
Call_7632,C0006,55,R01,15-Apr-23,215,4.3,2023,Saturday,
Call_7633,C0001,17,R03,15-Apr-23,69,4.6,2023,Saturday,
Call_7634,C0006,128,R03,15-Apr-23,140,3,2023,Saturday,
Call_7635,C0015,45,R01,16-Apr-23,156,2.7,2023,Sunday,
Call_7636,C0001,41,R03,16-Apr-23,164,3.1,2023,Sunday,
Call_7637,C0002,49,R03,16-Apr-23,195,2.6,2023,Sunday,
Call_7638,C0004,21,R04,16-Apr-23,74,4.6,2023,Sunday,
Call_7639,C0012,133,R01,16-Apr-23,100,4,2023,Sunday,
Call_7640,C0003,135,R02,16-Apr-23,185,4.5,2023,Sunday,
Call_7641,C0013,69,R01,16-Apr-23,130,1.9,2023,Sunday,
Call_7642,C0010,110,R04,17-Apr-23,21,2.6,2023,Monday,
Call_7643,C0008,64,R05,17-Apr-23,88,4.3,2023,Monday,
Call_7644,C0005,105,R03,17-Apr-23,35,4.4,2023,Monday,
Call_7645,C0008,165,R02,17-Apr-23,68,4.3,2023,Monday,
Call_7646,C0015,125,R02,17-Apr-23,148,4.5,2023,Monday,
Call_7647,C0005,88,R05,18-Apr-23,81,4.2,2023,Tuesday,
Call_7648,C0013,6,R05,18-Apr-23,75,3.9,2023,Tuesday,
Call_7649,C0009,69,R01,19-Apr-23,32,3.6,2023,Wednesday,
Call_7650,C0001,107,R01,19-Apr-23,156,3.8,2023,Wednesday,
Call_7651,C0004,90,R02,19-Apr-23,99,4.9,2023,Wednesday,
Call_7652,C0003,120,R03,19-Apr-23,26,4,2023,Wednesday,
Call_7653,C0011,47,R01,19-Apr-23,84,4.1,2023,Wednesday,
Call_7654,C0014,60,R03,19-Apr-23,84,4.8,2023,Wednesday,
Call_7655,C0006,64,R02,19-Apr-23,170,2.3,2023,Wednesday,
Call_7656,C0008,62,R01,19-Apr-23,35,4.4,2023,Wednesday,
Call_7657,C0010,88,R01,20-Apr-23,35,3.8,2023,Thursday,
Call_7658,C0015,116,R01,20-Apr-23,132,5,2023,Thursday,
Call_7659,C0004,82,R05,21-Apr-23,144,3.3,2023,Friday,
Call_7660,C0008,99,R02,21-Apr-23,48,5,2023,Friday,
Call_7661,C0008,55,R05,21-Apr-23,200,2.3,2023,Friday,
Call_7662,C0006,61,R03,21-Apr-23,38,4.8,2023,Friday,
Call_7663,C0015,36,R04,21-Apr-23,81,3.7,2023,Friday,
Call_7664,C0004,123,R01,21-Apr-23,120,4.2,2023,Friday,
Call_7665,C0002,24,R03,21-Apr-23,74,4.8,2023,Friday,
Call_7666,C0004,43,R01,22-Apr-23,128,4.7,2023,Saturday,
Call_7667,C0014,95,R02,22-Apr-23,21,3.9,2023,Saturday,
Call_7668,C0008,53,R01,22-Apr-23,110,4.3,2023,Saturday,
Call_7669,C0004,113,R01,22-Apr-23,145,4,2023,Saturday,
Call_7670,C0008,89,R04,22-Apr-23,129,4,2023,Saturday,
Call_7671,C0010,84,R05,22-Apr-23,156,3.2,2023,Saturday,
Call_7672,C0002,130,R01,23-Apr-23,120,3.8,2023,Sunday,
Call_7673,C0014,163,R04,23-Apr-23,62,3.4,2023,Sunday,
Call_7674,C0009,127,R01,23-Apr-23,160,3.2,2023,Sunday,
Call_7675,C0004,50,R01,23-Apr-23,56,4.7,2023,Sunday,
Call_7676,C0007,88,R03,23-Apr-23,72,4,2023,Sunday,
Call_7677,C0004,139,R02,24-Apr-23,81,4.8,2023,Monday,
Call_7678,C0014,111,R01,24-Apr-23,144,3.9,2023,Monday,
Call_7679,C0005,115,R02,24-Apr-23,111,4.3,2023,Monday,
Call_7680,C0008,26,R04,24-Apr-23,43,4.2,2023,Monday,
Call_7681,C0010,131,R03,24-Apr-23,41,4.9,2023,Monday,
Call_7682,C0005,27,R03,24-Apr-23,74,4,2023,Monday,
Call_7683,C0012,75,R01,24-Apr-23,43,4.9,2023,Monday,
Call_7684,C0006,123,R03,24-Apr-23,128,3.6,2023,Monday,
Call_7685,C0003,129,R03,25-Apr-23,144,4.1,2023,Tuesday,
Call_7686,C0012,124,R02,25-Apr-23,132,4.9,2023,Tuesday,
Call_7687,C0005,108,R02,25-Apr-23,180,3.9,2023,Tuesday,
Call_7688,C0011,15,R02,25-Apr-23,31,4.1,2023,Tuesday,
Call_7689,C0005,66,R02,25-Apr-23,102,3.8,2023,Tuesday,
Call_7690,C0007,126,R01,26-Apr-23,175,4.8,2023,Wednesday,
Call_7691,C0012,26,R05,26-Apr-23,87,4.7,2023,Wednesday,
Call_7692,C0002,105,R01,26-Apr-23,66,4.2,2023,Wednesday,
Call_7693,C0002,31,R01,26-Apr-23,25,3.2,2023,Wednesday,
Call_7694,C0005,109,R02,26-Apr-23,126,3.4,2023,Wednesday,
Call_7695,C0003,113,R04,27-Apr-23,42,4.6,2023,Thursday,
Call_7696,C0007,101,R05,27-Apr-23,225,1.9,2023,Thursday,
Call_7697,C0014,156,R05,27-Apr-23,42,3.3,2023,Thursday,
Call_7698,C0005,145,R04,28-Apr-23,110,3.1,2023,Friday,
Call_7699,C0006,36,R02,28-Apr-23,225,4.8,2023,Friday,
Call_7700,C0002,135,R03,29-Apr-23,125,3.3,2023,Saturday,
Call_7701,C0007,81,R02,29-Apr-23,78,2.9,2023,Saturday,
Call_7702,C0007,81,R04,29-Apr-23,40,2.4,2023,Saturday,
Call_7703,C0009,93,R01,29-Apr-23,150,4.6,2023,Saturday,
Call_7704,C0005,14,R02,29-Apr-23,96,4.8,2023,Saturday,
Call_7705,C0002,95,R04,30-Apr-23,75,4.8,2023,Sunday,
Call_7706,C0009,81,R04,30-Apr-23,60,3.6,2023,Sunday,
Call_7707,C0008,60,R02,1-May-23,41,4.8,2023,Monday,
Call_7708,C0013,137,R01,1-May-23,20,4.2,2023,Monday,
Call_7709,C0004,112,R03,1-May-23,84,2.6,2023,Monday,
Call_7710,C0002,76,R05,1-May-23,140,3.7,2023,Monday,
Call_7711,C0015,73,R02,1-May-23,66,4.8,2023,Monday,
Call_7712,C0010,119,R01,1-May-23,105,4.7,2023,Monday,
Call_7713,C0003,135,R04,2-May-23,104,4.1,2023,Tuesday,
Call_7714,C0013,41,R03,2-May-23,123,3.2,2023,Tuesday,
Call_7715,C0005,35,R04,3-May-23,215,4.3,2023,Wednesday,
Call_7716,C0003,96,R02,3-May-23,46,0.7,2023,Wednesday,
Call_7717,C0009,61,R03,3-May-23,115,3.7,2023,Wednesday,
Call_7718,C0003,91,R03,3-May-23,124,3.9,2023,Wednesday,
Call_7719,C0001,30,R03,4-May-23,205,4.5,2023,Thursday,
Call_7720,C0008,111,R01,4-May-23,90,2.8,2023,Thursday,
Call_7721,C0009,81,R02,4-May-23,92,4.9,2023,Thursday,
Call_7722,C0002,40,R04,6-May-23,108,4.2,2023,Saturday,
Call_7723,C0008,143,R04,6-May-23,54,4.4,2023,Saturday,
Call_7724,C0002,70,R04,7-May-23,44,3.5,2023,Sunday,
Call_7725,C0015,137,R04,7-May-23,44,4.7,2023,Sunday,
Call_7726,C0003,52,R02,8-May-23,37,4.9,2023,Monday,
Call_7727,C0004,31,R01,8-May-23,180,4.5,2023,Monday,
Call_7728,C0003,114,R03,8-May-23,105,4.9,2023,Monday,
Call_7729,C0015,73,R05,8-May-23,87,3.6,2023,Monday,
Call_7730,C0009,25,R01,8-May-23,52,3.8,2023,Monday,
Call_7731,C0011,44,R03,8-May-23,63,3.5,2023,Monday,
Call_7732,C0006,34,R02,9-May-23,195,4.8,2023,Tuesday,
Call_7733,C0008,89,R04,10-May-23,176,4.5,2023,Wednesday,
Call_7734,C0010,54,R01,11-May-23,31,3.3,2023,Thursday,
Call_7735,C0005,25,R01,12-May-23,27,3.2,2023,Friday,
Call_7736,C0013,91,R04,12-May-23,76,4.9,2023,Friday,
Call_7737,C0011,144,R03,12-May-23,62,4.8,2023,Friday,
Call_7738,C0013,81,R02,14-May-23,100,1.3,2023,Sunday,
Call_7739,C0001,92,R01,14-May-23,44,3.1,2023,Sunday,
Call_7740,C0005,115,R04,14-May-23,168,3.4,2023,Sunday,
Call_7741,C0007,56,R04,15-May-23,200,4.6,2023,Monday,
Call_7742,C0004,154,R01,15-May-23,84,4.3,2023,Monday,
Call_7743,C0008,51,R04,16-May-23,117,2.7,2023,Tuesday,
Call_7744,C0006,21,R02,16-May-23,63,4.2,2023,Tuesday,
Call_7745,C0005,80,R04,17-May-23,145,4.9,2023,Wednesday,
Call_7746,C0008,139,R01,17-May-23,220,3.2,2023,Wednesday,
Call_7747,C0002,50,R02,17-May-23,26,4.7,2023,Wednesday,
Call_7748,C0005,88,R04,17-May-23,78,4.3,2023,Wednesday,
Call_7749,C0010,19,R03,18-May-23,132,4.3,2023,Thursday,
Call_7750,C0009,104,R03,19-May-23,68,3.7,2023,Friday,
Call_7751,C0004,67,R01,21-May-23,129,4.7,2023,Sunday,
Call_7752,C0012,107,R03,21-May-23,115,4.9,2023,Sunday,
Call_7753,C0012,93,R03,21-May-23,128,3.9,2023,Sunday,
Call_7754,C0012,117,R01,21-May-23,90,4.5,2023,Sunday,
Call_7755,C0002,76,R04,22-May-23,39,4.6,2023,Monday,
Call_7756,C0010,64,R03,22-May-23,132,3.3,2023,Monday,
Call_7757,C0011,33,R03,22-May-23,170,3.8,2023,Monday,
Call_7758,C0012,115,R01,22-May-23,42,4.7,2023,Monday,
Call_7759,C0014,155,R04,23-May-23,37,4,2023,Tuesday,
Call_7760,C0004,117,R04,23-May-23,88,4.7,2023,Tuesday,
Call_7761,C0008,63,R04,23-May-23,80,2.5,2023,Tuesday,
Call_7762,C0010,59,R05,24-May-23,123,3.6,2023,Wednesday,
Call_7763,C0006,133,R03,24-May-23,31,3.7,2023,Wednesday,
Call_7764,C0001,101,R02,24-May-23,205,3.9,2023,Wednesday,
Call_7765,C0013,151,R04,25-May-23,123,3.7,2023,Thursday,
Call_7766,C0011,146,R03,25-May-23,123,4.3,2023,Thursday,
Call_7767,C0008,148,R03,25-May-23,36,2.9,2023,Thursday,
Call_7768,C0013,81,R03,25-May-23,116,4.3,2023,Thursday,
Call_7769,C0009,115,R03,25-May-23,40,4.9,2023,Thursday,
Call_7770,C0009,117,R04,25-May-23,40,4,2023,Thursday,
Call_7771,C0001,110,R01,26-May-23,82,4,2023,Friday,
Call_7772,C0002,103,R05,26-May-23,62,3.4,2023,Friday,
Call_7773,C0014,45,R05,26-May-23,135,3.9,2023,Friday,
Call_7774,C0001,110,R02,26-May-23,155,2.1,2023,Friday,
Call_7775,C0010,43,R01,26-May-23,37,4.9,2023,Friday,
Call_7776,C0001,104,R04,27-May-23,56,3.4,2023,Saturday,
Call_7777,C0001,101,R04,27-May-23,185,5,2023,Saturday,
Call_7778,C0003,55,R01,28-May-23,145,4.5,2023,Sunday,
Call_7779,C0013,40,R05,28-May-23,116,2.6,2023,Sunday,
Call_7780,C0010,122,R03,28-May-23,45,4.2,2023,Sunday,
Call_7781,C0011,98,R04,29-May-23,35,4.5,2023,Monday,
Call_7782,C0009,110,R05,29-May-23,100,4.4,2023,Monday,
Call_7783,C0009,62,R01,30-May-23,125,3.5,2023,Tuesday,
Call_7784,C0010,134,R03,30-May-23,120,3,2023,Tuesday,
Call_7785,C0015,94,R02,30-May-23,180,4.7,2023,Tuesday,
Call_7786,C0007,63,R05,30-May-23,44,3,2023,Tuesday,
Call_7787,C0006,95,R03,30-May-23,86,3.6,2023,Tuesday,
Call_7788,C0010,106,R03,31-May-23,120,4.1,2023,Wednesday,
Call_7789,C0014,94,R02,31-May-23,100,3.7,2023,Wednesday,
Call_7790,C0014,51,R02,1-Jun-23,108,4.5,2023,Thursday,
Call_7791,C0008,39,R02,1-Jun-23,46,4.6,2023,Thursday,
Call_7792,C0013,111,R03,1-Jun-23,210,4.3,2023,Thursday,
Call_7793,C0012,141,R01,3-Jun-23,54,4.8,2023,Saturday,
Call_7794,C0007,147,R03,3-Jun-23,115,4.7,2023,Saturday,
Call_7795,C0015,49,R02,4-Jun-23,100,2.2,2023,Sunday,
Call_7796,C0005,75,R03,4-Jun-23,38,4.4,2023,Sunday,
Call_7797,C0012,48,R01,5-Jun-23,120,4.1,2023,Monday,
Call_7798,C0009,48,R01,5-Jun-23,120,4.1,2023,Monday,
Call_7799,C0004,138,R02,5-Jun-23,29,4.4,2023,Monday,
Call_7800,C0006,144,R02,6-Jun-23,25,3.7,2023,Tuesday,
Call_7801,C0001,119,R03,7-Jun-23,116,3.8,2023,Wednesday,
Call_7802,C0004,101,R01,8-Jun-23,132,4.3,2023,Thursday,
Call_7803,C0006,59,R03,9-Jun-23,90,3.5,2023,Friday,
Call_7804,C0013,125,R05,9-Jun-23,87,4.1,2023,Friday,
Call_7805,C0010,147,R03,9-Jun-23,140,4.2,2023,Friday,
Call_7806,C0002,76,R03,9-Jun-23,164,4.5,2023,Friday,
Call_7807,C0007,99,R01,10-Jun-23,180,3.8,2023,Saturday,
Call_7808,C0008,111,R04,11-Jun-23,22,4.1,2023,Sunday,
Call_7809,C0011,147,R05,11-Jun-23,82,4.4,2023,Sunday,
Call_7810,C0003,141,R01,11-Jun-23,100,4.6,2023,Sunday,
Call_7811,C0002,71,R03,12-Jun-23,52,3.4,2023,Monday,
Call_7812,C0002,121,R05,13-Jun-23,84,4.6,2023,Tuesday,
Call_7813,C0002,60,R05,13-Jun-23,37,3.9,2023,Tuesday,
Call_7814,C0015,158,R01,14-Jun-23,190,4,2023,Wednesday,
Call_7815,C0010,159,R02,14-Jun-23,66,3.4,2023,Wednesday,
Call_7816,C0004,70,R03,15-Jun-23,116,3.2,2023,Thursday,
Call_7817,C0012,78,R04,15-Jun-23,28,3.9,2023,Thursday,
Call_7818,C0011,103,R03,15-Jun-23,120,5,2023,Thursday,
Call_7819,C0005,108,R01,15-Jun-23,56,3.5,2023,Thursday,
Call_7820,C0005,44,R05,15-Jun-23,170,3.8,2023,Thursday,
Call_7821,C0012,127,R01,16-Jun-23,200,4.8,2023,Friday,
Call_7822,C0011,132,R03,17-Jun-23,50,4.2,2023,Saturday,
Call_7823,C0003,106,R04,17-Jun-23,112,3.7,2023,Saturday,
Call_7824,C0008,107,R03,18-Jun-23,39,4.8,2023,Sunday,
Call_7825,C0010,85,R04,18-Jun-23,38,4.8,2023,Sunday,
Call_7826,C0007,49,R03,19-Jun-23,84,2.9,2023,Monday,
Call_7827,C0002,117,R01,20-Jun-23,82,3.5,2023,Tuesday,
Call_7828,C0008,136,R04,20-Jun-23,37,0.9,2023,Tuesday,
Call_7829,C0005,130,R02,21-Jun-23,87,3.4,2023,Wednesday,
Call_7830,C0005,73,R02,21-Jun-23,75,2.7,2023,Wednesday,
Call_7831,C0007,80,R03,21-Jun-23,32,4.7,2023,Wednesday,
Call_7832,C0001,44,R01,21-Jun-23,33,3,2023,Wednesday,
Call_7833,C0001,102,R05,21-Jun-23,76,4.2,2023,Wednesday,
Call_7834,C0015,74,R05,21-Jun-23,117,4.8,2023,Wednesday,
Call_7835,C0007,52,R01,23-Jun-23,70,4.1,2023,Friday,
Call_7836,C0007,74,R02,23-Jun-23,37,2.7,2023,Friday,
Call_7837,C0005,96,R05,23-Jun-23,46,2.9,2023,Friday,
Call_7838,C0013,104,R03,23-Jun-23,136,5,2023,Friday,
Call_7839,C0005,123,R05,24-Jun-23,44,4.6,2023,Saturday,
Call_7840,C0009,100,R04,24-Jun-23,69,3,2023,Saturday,
Call_7841,C0013,35,R01,25-Jun-23,86,4.6,2023,Sunday,
Call_7842,C0007,123,R03,25-Jun-23,68,4.5,2023,Sunday,
Call_7843,C0002,133,R01,26-Jun-23,21,3.7,2023,Monday,
Call_7844,C0005,126,R02,26-Jun-23,190,2.4,2023,Monday,
Call_7845,C0007,39,R05,26-Jun-23,176,4.3,2023,Monday,
Call_7846,C0015,31,R03,26-Jun-23,172,3.9,2023,Monday,
Call_7847,C0011,25,R01,26-Jun-23,84,4.5,2023,Monday,
Call_7848,C0004,132,R04,27-Jun-23,42,5,2023,Tuesday,
Call_7849,C0013,63,R02,27-Jun-23,70,1.6,2023,Tuesday,
Call_7850,C0009,135,R04,27-Jun-23,60,4.3,2023,Tuesday,
Call_7851,C0010,101,R02,27-Jun-23,84,3.5,2023,Tuesday,
Call_7852,C0002,80,R05,28-Jun-23,68,3.1,2023,Wednesday,
Call_7853,C0001,28,R05,28-Jun-23,44,2.9,2023,Wednesday,
Call_7854,C0010,102,R04,29-Jun-23,99,3.2,2023,Thursday,
Call_7855,C0013,60,R04,30-Jun-23,66,3.2,2023,Friday,
Call_7856,C0014,103,R04,30-Jun-23,102,4.5,2023,Friday,
Call_7857,C0002,90,R05,1-Jul-23,129,3.9,2024,Saturday,
Call_7858,C0012,88,R04,1-Jul-23,80,4.2,2024,Saturday,
Call_7859,C0014,37,R04,1-Jul-23,54,1.8,2024,Saturday,
Call_7860,C0001,142,R05,1-Jul-23,116,4.2,2024,Saturday,
Call_7861,C0001,153,R01,1-Jul-23,102,3.1,2024,Saturday,
Call_7862,C0006,128,R02,1-Jul-23,140,4.3,2024,Saturday,
Call_7863,C0013,110,R02,2-Jul-23,104,4.4,2024,Sunday,
Call_7864,C0006,139,R04,2-Jul-23,81,4.4,2024,Sunday,
Call_7865,C0010,109,R03,4-Jul-23,140,2.4,2024,Tuesday,
Call_7866,C0004,57,R05,5-Jul-23,120,3.5,2024,Wednesday,
Call_7867,C0010,68,R04,5-Jul-23,41,3.1,2024,Wednesday,
Call_7868,C0011,128,R04,5-Jul-23,116,2.3,2024,Wednesday,
Call_7869,C0003,102,R05,6-Jul-23,70,2.8,2024,Thursday,
Call_7870,C0006,52,R01,6-Jul-23,42,4.5,2024,Thursday,
Call_7871,C0011,55,R02,7-Jul-23,112,4.5,2024,Friday,
Call_7872,C0014,107,R04,7-Jul-23,20,4.5,2024,Friday,
Call_7873,C0002,88,R01,8-Jul-23,110,4.8,2024,Saturday,
Call_7874,C0007,49,R01,8-Jul-23,39,4.6,2024,Saturday,
Call_7875,C0002,72,R05,8-Jul-23,76,4.5,2024,Saturday,
Call_7876,C0004,50,R05,8-Jul-23,40,5,2024,Saturday,
Call_7877,C0002,52,R04,8-Jul-23,42,4.8,2024,Saturday,
Call_7878,C0005,85,R03,9-Jul-23,215,3.5,2024,Sunday,
Call_7879,C0009,98,R03,10-Jul-23,130,3.4,2024,Monday,
Call_7880,C0015,52,R03,10-Jul-23,190,3.3,2024,Monday,
Call_7881,C0011,154,R01,10-Jul-23,164,4.9,2024,Monday,
Call_7882,C0008,131,R02,11-Jul-23,76,4.5,2024,Tuesday,
Call_7883,C0005,73,R02,12-Jul-23,87,4.8,2024,Wednesday,
Call_7884,C0013,45,R03,12-Jul-23,84,4.8,2024,Wednesday,
Call_7885,C0006,114,R04,12-Jul-23,114,3.9,2024,Wednesday,
Call_7886,C0009,69,R02,13-Jul-23,56,3.9,2024,Thursday,
Call_7887,C0008,33,R01,13-Jul-23,27,3.7,2024,Thursday,
Call_7888,C0004,31,R05,14-Jul-23,84,4.8,2024,Friday,
Call_7889,C0013,168,R01,14-Jul-23,72,3.5,2024,Friday,
Call_7890,C0005,111,R04,15-Jul-23,126,4.2,2024,Saturday,
Call_7891,C0004,80,R01,16-Jul-23,88,4.9,2024,Sunday,
Call_7892,C0003,37,R01,16-Jul-23,124,4.6,2024,Sunday,
Call_7893,C0001,137,R01,17-Jul-23,84,2.6,2024,Monday,
Call_7894,C0009,123,R04,17-Jul-23,80,2.7,2024,Monday,
Call_7895,C0012,105,R04,18-Jul-23,176,4.7,2024,Tuesday,
Call_7896,C0003,76,R03,19-Jul-23,84,3.9,2024,Wednesday,
Call_7897,C0004,144,R03,19-Jul-23,164,2.8,2024,Wednesday,
Call_7898,C0008,109,R05,19-Jul-23,132,3.1,2024,Wednesday,
Call_7899,C0009,172,R01,20-Jul-23,27,4.2,2024,Thursday,
Call_7900,C0004,56,R04,20-Jul-23,27,4.3,2024,Thursday,
Call_7901,C0004,121,R02,20-Jul-23,20,2.7,2024,Thursday,
Call_7902,C0009,41,R04,21-Jul-23,112,2.3,2024,Friday,
Call_7903,C0014,60,R01,21-Jul-23,60,2.3,2024,Friday,
Call_7904,C0014,144,R01,22-Jul-23,102,2.9,2024,Saturday,
Call_7905,C0011,67,R01,22-Jul-23,38,4.2,2024,Saturday,
Call_7906,C0009,162,R05,22-Jul-23,82,4.6,2024,Saturday,
Call_7907,C0014,87,R02,25-Jul-23,125,4.5,2024,Tuesday,
Call_7908,C0015,10,R03,26-Jul-23,72,3.7,2024,Wednesday,
Call_7909,C0004,138,R03,26-Jul-23,195,4.1,2024,Wednesday,
Call_7910,C0009,31,R03,27-Jul-23,160,3.4,2024,Thursday,
Call_7911,C0012,75,R05,27-Jul-23,78,3.3,2024,Thursday,
Call_7912,C0003,65,R05,28-Jul-23,70,4.4,2024,Friday,
Call_7913,C0005,106,R04,28-Jul-23,105,4.2,2024,Friday,
Call_7914,C0003,107,R04,29-Jul-23,78,3.4,2024,Saturday,
Call_7915,C0001,78,R04,31-Jul-23,205,4.4,2024,Monday,
Call_7916,C0002,122,R04,31-Jul-23,78,2.7,2024,Monday,
Call_7917,C0004,58,R03,31-Jul-23,38,4.5,2024,Monday,
Call_7918,C0001,33,R01,31-Jul-23,92,1.7,2024,Monday,
Call_7919,C0008,164,R05,31-Jul-23,36,4.7,2024,Monday,
Call_7920,C0012,163,R02,31-Jul-23,76,4.4,2024,Monday,
Call_7921,C0007,71,R05,2-Aug-23,170,3.5,2024,Wednesday,
Call_7922,C0001,103,R03,3-Aug-23,117,4.7,2024,Thursday,
Call_7923,C0006,69,R02,3-Aug-23,20,4.3,2024,Thursday,
Call_7924,C0012,111,R03,3-Aug-23,99,4.1,2024,Thursday,
Call_7925,C0010,97,R02,4-Aug-23,105,2.9,2024,Friday,
Call_7926,C0013,144,R04,4-Aug-23,195,3.4,2024,Friday,
Call_7927,C0005,56,R02,5-Aug-23,152,4.6,2024,Saturday,
Call_7928,C0013,132,R04,6-Aug-23,195,4.9,2024,Sunday,
Call_7929,C0007,72,R01,6-Aug-23,70,3.6,2024,Sunday,
Call_7930,C0012,18,R01,6-Aug-23,22,3.5,2024,Sunday,
Call_7931,C0011,115,R03,7-Aug-23,40,3.3,2024,Monday,
Call_7932,C0011,124,R02,8-Aug-23,54,3.8,2024,Tuesday,
Call_7933,C0004,130,R02,8-Aug-23,60,2.5,2024,Tuesday,
Call_7934,C0015,120,R05,10-Aug-23,58,4.6,2024,Thursday,
Call_7935,C0010,75,R03,10-Aug-23,220,4.7,2024,Thursday,
